CHG TSX,CHG Oil,CHG Gold,CHG Price,Norm_Gold,Norm_Oil,Norm_TSX,TSX,Gold,Crude,Avg TSX,Norm AVG_TSX,CAD Price,AVG Price
22.2,-2.77,19,0.006,0.5972,0.1936,0.6205,16382.5,"1,555.90",53.94,16434.75,0.771845781,0.75,0.7531
55.2,1.16,31,0.003,0.7093,0.4931,0.6692,16487,"1,560.40",56.26,16492.75,0.792141397,0.7562,0.7561
116,2.36,-30.4,0.0034,0.1355,0.5846,0.759,16498.5,"1,525.50",56.3,16522.34961,0.802499024,0.756,0.7576
59.2,0.26,-44.9,0.0012,0,0.4245,0.6751,16546.19922,"1,515.50",56.52,16555.69922,0.814168867,0.7592,0.7593
66.7,1.55,-14.4,-0.0014,0.285,0.5229,0.6862,16565.19922,"1,511.10",57.85,16516.25,0.800364621,0.7594,0.7599
-78.9,0.88,-16.3,-0.0034,0.2673,0.4718,0.4713,16467.30078,"1,499.20",57.4,16516.25,0.800364621,0.7604,0.7592
0,-2.1,-7.9,-0.0053,0.3458,0.2447,0.5877,16565.19922,"1,503.20",55.75,16594.64942,0.827798491,0.758,0.7575
156.8,-2.31,8.2,-0.0016,0.4963,0.2287,0.8192,16624.09961,"1,507.40",55.09,16651.9502,0.847849433,0.757,0.75485
114.6,-0.9,-3.7,0.0023,0.385,0.3361,0.7569,16679.80078,"1,499.50",54.85,16693.05078,0.862231531,0.7527,0.75405
82.2,7.81,4.1,-0.0027,0.4579,1,0.7091,16706.30078,"1,511.50",62.9,16722.30078,0.87246682,0.7554,0.7552
58.5,4.49,13.9,-0.001,0.5495,0.747,0.6741,16738.30078,"1,513.40",59.34,16781.40039,0.893147217,0.755,0.75385
118.2,-4.79,4.3,0.0014,0.4598,0.0396,0.7622,16824.5,"1,515.80",58.11,16827.04981,0.909121062,0.7527,0.75335
91.3,-1.21,-7.2,0,0.3523,0.3125,0.7225,16829.59961,"1,506.20",58.13,16863.2002,0.921770966,0.754,0.75405
72.3,-0.02,-0.7,0.0011,0.4131,0.4032,0.6945,16896.80078,"1,515.10",58.09,16883.4502,0.928856935,0.7541,0.75405
40.5,0.51,25.3,-0.0003,0.6561,0.4436,0.6475,16870.09961,"1,531.50",58.64,16873.75,0.9254626,0.754,0.7546
-19.4,-0.8,25.1,-0.0015,0.6542,0.3438,0.5591,16877.40039,"1,540.20",57.29,16824.2002,0.908123913,0.7552,0.75445
-99.1,-2.15,-19.2,0.0013,0.2402,0.2409,0.4415,16771,"1,512.30",56.49,16779.54981,0.892499652,0.7537,0.7537
-89.3,-0.88,-25,0.0015,0.186,0.3377,0.4559,16788.09961,"1,515.20",56.41,16778.75,0.892219781,0.7537,0.75435
-1.6,-0.58,-5.9,0.0014,0.3645,0.3605,0.5854,16769.40039,"1,506.40",55.91,16718.04981,0.8709793,0.755,0.7551
-121.4,-2.34,-42.3,-0.0046,0.0243,0.2264,0.4086,16666.69922,"1,472.90",54.07,16675.14942,0.855967406,0.7552,0.7558
-85.8,-2.29,-17.4,-0.0066,0.257,0.2302,0.4611,16683.59961,"1,489.00",53.62,16542.7002,0.80962019,0.7564,0.7535
-264.9,-1.43,35,0.0004,0.7467,0.2957,0.1968,16401.80078,"1,507.90",52.64,16343.60059,0.739950375,0.7506,0.7502
